State ,Abbreviation,Latitude,Longitude
Alaska,AK,63.588753,-154.493062
Alabama,AL,32.318231,-86.902298
Arkansas,AR,35.20105,-91.831833
Arizona,AZ,34.048928,-111.093731
California,CA,36.778261,-119.417932
Colorado,CO,39.550051,-105.782067
Connecticut,CT,41.603221,-73.087749
District of Columbia,DC,38.905985,-77.033418
Delaware,DE,38.910832,-75.52767
Florida,FL,27.664827,-81.515754
Georgia,GA,32.157435,-82.907123
Hawaii,HI,19.898682,-155.665857
Iowa,IA,41.878003,-93.097702
Idaho,ID,44.068202,-114.742041
Illinois,IL,40.633125,-89.398528
Indiana,IN,40.551217,-85.602364
Kansas,KS,39.011902,-98.484246
Kentucky,KY,37.839333,-84.270018
Lousiana,LA,31.244823,-92.145024
Massachusetts,MA,42.407211,-71.382437
Maryland,MD,39.045755,-76.641271
Maine,ME,45.253783,-69.445469
Michigan,MI,44.314844,-85.602364
Minnesota,MN,46.729553,-94.6859
Missouri,MO,37.964253,-91.831833
Mississippi,MS,32.354668,-89.398528
Montana,MT,46.879682,-110.362566
North Carolina,NC,35.759573,-79.0193
Nort Dakota,ND,47.551493,-101.002012
Nebraska,NE,41.492537,-99.901813
New Hampshire,NH,43.193852,-71.572395
New Jersey,NJ,40.058324,-74.405661
New Mexico,NM,34.97273,-105.032363
Nevada,NV,38.80261,-116.419389
New York,NY,43.299428,-74.217933
Ohio,OH,40.417287,-82.907123
Oklahoma,OK,35.007752,-97.092877
Oregon,OR,43.804133,-120.554201
Pennsylvania,PA,41.203322,-77.194525
Puerto Rico,PR,18.220833,-66.590149
Rhode Island,RI,41.580095,-71.477429
South Carolina,SC,33.836081,-81.163725
South Dakota,SD,43.969515,-99.901813
Tennessee,TN,35.517491,-86.580447
Texas,TX,31.968599,-99.901813
Utah,UT,39.32098,-111.093731
Virginia,VA,37.431573,-78.656894
Vermont,VT,44.558803,-72.577841
Washington,WA,"47.751074	",-120.740139
Wisconsin,WI,43.78444,-88.787868
West Virginia,WV,38.597626,-80.454903
Wyoming,WY,43.075968,-107.290284
